Year,Player_ID,First_name,Last_name,Full_name,Position,Height_inches,Weight_lbs,Wingspan_inches,Standing_reach_inches,VJ inches,Running_VJ_Inches,Lane_agility,Sprint_3qtr_court,Bench_press_135,Body_fat_perc
2003,2409,Marcus,Haislip,Marcus Haislip,PF,80.5,221,84,107,33.5,36.5,11.35,3.21,8,NA
2003,12068,Damon,Hancock,Damon Hancock,SG,74.75,203,78,99.5,32,35,11.62,3.03,15,NA
2003,12069,Greg,Harrington,Greg Harrington,PG,73,183,75.75,97,28.5,34,12.06,3.32,15,NA
2003,2617,Udonis,Haslem,Udonis Haslem,PF,79.75,250,83,107,28.5,33.5,11.8,3.31,22,NA
2003,12070,Cordell,Henry,Cordell Henry,PG,68,155,73,92,33,37.5,11.3,3.04,1,NA
2003,2450,Randy,Holcomb,Randy Holcomb,SF,79,225,85,105,29.5,35.5,12.85,3.22,15,NA
2003,2415,Ryan,Humphrey,Ryan Humphrey,PF,78,223,84,104.5,31.5,37.5,11.75,3.2,13,NA
2003,2407,Jared,Jeffries,Jared Jeffries,PF,82,230,84.5,109,26,30,11.73,3.4,9,NA
2003,12049,Jason,Jennings,Jason Jennings,C,83.25,249,91,111,29,32,11.92,3.62,8,NA
2003,2495,Lonnie,Jones,Lonnie Jones,C,82.25,230,86.25,112,30.5,31.5,11.8,3.33,15,NA
2003,2410,Fred,Jones,Fred Jones,SG,74.25,218,84,100,33.5,37.5,11.12,3.13,NA,NA
2003,2435,Mario,Kasun,Mario Kasun,C,83.75,260,83.5,109,NA,NA,NA,NA,12,NA
2003,12050,Sean,Kennedy,Sean Kennedy,PG,72.75,182,74.5,96,22.5,26.5,11.64,3.28,0,NA
2003,12051,Kris,Lang,Kris Lang,C,81.25,242,83.75,109,28,29,11.36,3.24,19,NA
2003,12052,Muhammed,Lasege,Muhammed Lasege,C,80.75,228,86,108.5,27.5,30,12.96,3.29,18,NA
2003,12053,Steve,Logan,Steve Logan,PG,70,207,71.75,92.5,NA,NA,NA,NA,11,NA
2003,2677,Kevin,Lyde,Kevin Lyde,C,80.75,278,86,109.5,27.5,30.5,12.97,3.36,13,NA
2003,2432,Tito,Maddox,Tito Maddox,PG,75,200,77,99,27,32.5,12.2,3.24,0,NA
2003,12054,Kei,Madison,Kei Madison,SF,79.75,216,84.5,107,27.5,34.5,11.74,3.22,6,NA
2003,-1,Chris,Massie,Chris Massie,PF,78.25,248,84,107,NA,NA,NA,NA,NA,NA
2003,12055,Immanuel,McElroy,Immanuel McElroy,SG,74.25,191,78.5,100,NA,NA,NA,NA,9,NA
2003,12056,Aaron,McGhee,Aaron McGhee,PF,79,255,82,105.5,26,28.5,12.24,NA,NA,NA
2003,12057,Elvin,Mims,Elvin Mims,SF,76.25,211,85.5,105.5,32,38,11.17,3.22,7,NA
2003,12058,Byron,Mouton,Byron Mouton,SG,76.5,213,82.25,102,24,30,11.84,3.1,7,NA
2003,2436,Ronald,Murray,Ronald Murray,SG,75,197,79.5,100.5,31,36.5,11.13,3.16,9,NA
2003,12059,Uche,Okafor,Uche Okafor,PF,81,229,89.5,112,24.5,25,14.45,3.34,10,NA
2003,2442,Chris,Owens,Chris Owens,PF,79,237,83.5,104,NA,NA,NA,NA,10,NA
2003,2457,Jannero,Pargo,Jannero Pargo,PG,72.25,168,74.5,96,25.5,29.5,11.11,3.2,5,NA
